Code;Commutator code ;Electric Diagram ;Name;Volume (market);Brand;Cluster Description;Eprel Clusters;Controller;Function Type;Type;Buffle ;Insulation Code ;Insulation Desc.;Type of Lamps ;Lamp Code ;Lamp Power ;Upper Resistance ;Upper Heater Power;Upper Heater Surface Load ;Lower Resistance;Lower Heater Power;Lower Heater  Surface Load ;Cavity Resistance Code;Cavity Heater Power;Cavity Heater Surface Load ;Cooling Fan;Cooling Fan Power ;Cavity Fan;Cavity Fan Power ;Turnspit;Number of glass;Cavity Type ;Ventilation Channel ;ECO Program ;Chimney
33701800;42814660;42810975;FCS 605 X;;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR06;New ECO;42817501;Yellow Glasswool  (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;91204735;18W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33701955;42825592;42825594;FCPS615X;;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR06;New ECO;42826647;Brown  AL foil (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825248;2020W;4.54 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33701978;42825592;42825594;FCP651SX;370;Candy;HALINO CATA;;Timer Touch;Fan Assisted;MR06;New ECO;42826647;Brown  AL foil (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825248;2020W;4.54 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Flat;Ventilation Channel ;No;5mm
33702053;42815788;42815892;FCE613X RC;;Candy;HALINO CATA;;Mechanical End of Cooking 120';Fan Assisted;MR06;New ECO;42821431;Brown (18 kg/m3 , 30 mm);1 Back;42823856;25W;42825244;1800W;5,13 W/cm2;42817766;1050W(external)+450W(internal);5.17 W/cm2-3.66 W/cm2;;;;91204735;18W;42828618;22W;N;1 Reflective + 1 Float;Flat;Switch Protection ;No;N
33702076;42837376;42827049;FCT615XL;950;Candy;HALINO CATA;HOT1151B/E;Timer Touch;Fan Assisted;MR07;New ECO;42827845;Needled Glasswool (33 kg/m3 , 30mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42828618;22W;N;1 Reflective + 1 Float;Flat;Switch Protection ;No;N
33702084;42837376;42827049;FCP605XL/E;3650;Candy;HALINO CATA;FCP605XL/E;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33702085;42837376;42827049;FCP605NXL/E;2950;Candy;HALINO CATA;FCP605NXL/E;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;91204735;18W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33702096;42837376;42827049;FCP602X/E;26220;Candy;HALINO CATA;FCP605NXL/E;Mechanical Minute Minder 60';Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42833374;12W;42834931;22W;N;1 Reflective + 1 Float;Embossed;Switch Protection ;No;N
33702102;42837376;42827049;FCP605WXL/E;2200;Candy;HALINO CATA;FCP605XL/E;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42822091;12W;42828618;22W;N;1 Reflective + 1 Float;Embossed;Ventilation Channel ;No;5mm
33702103;42837376;42827049;FCP625X/E;410;Candy;HALINO CATA;FCP625X/E;Timer Touch;Fan Assisted;MR07;New ECO;70018701;Yellow Glasswool (24 kg/m3 , 30 mm);1 Back;42823856;25W;42827354;1010W(internal)+1010W(external);4.32 W/cm2-4.58 W/cm2;42827837;1100W;2.35 W/cm2;;;;42833374;12W;42828618;22W;N;1 Reflective + 1 Float;Flat;Switch Protection ;No;N
